title,rating,description,removed_punc,tokenized_description
chocolate,tv-14,"brought together meaningful meal past present, doctor chef reacquainted begin working hospice ward.",brought together meaningful meal past present doctor chef reacquainted begin working hospice ward,"['brought', 'together', 'meaningful', 'meal', 'past', 'present', 'doctor', 'chef', 'reacquainted', 'begin', 'working', 'hospice', 'ward']"
guatemala: heart of the mayan world,tv-g,"sierra de la mina esquipulas, explore guatemala's cultural geological wealth, including ancient mayan city natural wonders.",sierra de la mina esquipulas explore guatemalas cultural geological wealth including ancient mayan city natural wonders,"['sierra', 'de', 'la', 'mina', 'esquipulas', 'explore', 'guatemalas', 'cultural', 'geological', 'wealth', 'including', 'ancient', 'mayan', 'city', 'natural', 'wonders']"
the zoya factor,tv-14,"goofy copywriter unwittingly convinces indian cricket team she’s lucky mascot, dismay superstition-shunning captain.",goofy copywriter unwittingly convinces indian cricket team shes lucky mascot dismay superstitionshunning captain,"['goofy', 'copywriter', 'unwittingly', 'convinces', 'indian', 'cricket', 'team', 'shes', 'lucky', 'mascot', 'dismay', 'superstitionshunning', 'captain']"
atlantics,tv-14,"arranged marry rich man, young ada crushed true love go missing sea migration attempt – miracle reunites them.",arranged marry rich man young ada crushed true love go missing sea migration attempt  miracle reunites them,"['arranged', 'marry', 'rich', 'man', 'young', 'ada', 'crushed', 'true', 'love', 'go', 'missing', 'sea', 'migration', 'attempt', 'miracle', 'reunites', 'them']"
chip and potato,tv-y,"lovable pug chip start kindergarten, make new friend try new thing – little help potato, secret mouse pal.",lovable pug chip start kindergarten make new friend try new thing  little help potato secret mouse pal,"['lovable', 'pug', 'chip', 'start', 'kindergarten', 'make', 'new', 'friend', 'try', 'new', 'thing', 'little', 'help', 'potato', 'secret', 'mouse', 'pal']"
crazy people,tv-14,nollywood star ramsey nouah learns someone impersonating break mental institution expose imposter.,nollywood star ramsey nouah learns someone impersonating break mental institution expose imposter,"['nollywood', 'star', 'ramsey', 'nouah', 'learns', 'someone', 'impersonating', 'break', 'mental', 'institution', 'expose', 'imposter']"
i lost my body,tv-ma,"romance, mystery adventure intertwine young man fall love severed hand scour paris owner mesmerizing animated film.",romance mystery adventure intertwine young man fall love severed hand scour paris owner mesmerizing animated film,"['romance', 'mystery', 'adventure', 'intertwine', 'young', 'man', 'fall', 'love', 'severed', 'hand', 'scour', 'paris', 'owner', 'mesmerizing', 'animated', 'film']"
kalushi: the story of solomon mahlangu,tv-ma,"life time iconic south african liberation fighter solomon mahlangu, battled force apartheid, come focus.",life time iconic south african liberation fighter solomon mahlangu battled force apartheid come focus,"['life', 'time', 'iconic', 'south', 'african', 'liberation', 'fighter', 'solomon', 'mahlangu', 'battled', 'force', 'apartheid', 'come', 'focus']"
la reina del sur,tv-14,"compelling show tell story legendary teresa mendoza, courageous woman perceived conquering world drug trafficking.",compelling show tell story legendary teresa mendoza courageous woman perceived conquering world drug trafficking,"['compelling', 'show', 'tell', 'story', 'legendary', 'teresa', 'mendoza', 'courageous', 'woman', 'perceived', 'conquering', 'world', 'drug', 'trafficking']"
lagos real fake life,tv-14,"two mooching friend vie attention wealthy, beautiful woman discover lavish lifestyle bogus.",two mooching friend vie attention wealthy beautiful woman discover lavish lifestyle bogus,"['two', 'mooching', 'friend', 'vie', 'attention', 'wealthy', 'beautiful', 'woman', 'discover', 'lavish', 'lifestyle', 'bogus']"
payday,tv-ma,"expensive night out, two flatmate get tangled overnight misadventure recover rent money pay dead landlord's daughter.",expensive night out two flatmate get tangled overnight misadventure recover rent money pay dead landlords daughter,"['expensive', 'night', 'out', 'two', 'flatmate', 'get', 'tangled', 'overnight', 'misadventure', 'recover', 'rent', 'money', 'pay', 'dead', 'landlords', 'daughter']"
